,Station,Date,DOY,X_ITRF2014,Y_ITRF2014,Z_ITRF2014
69,RKPT,2017/04/28,2017118,-691198.911,-5591769.542,2979082.909
72,RKPT,2017/04/29,2017119,-691198.910,-5591769.539,2979082.906
76,RKPT,2017/04/30,2017120,-691198.910,-5591769.535,2979082.904
82,RKPT,2017/05/01,2017121,-691198.911,-5591769.543,2979082.909
360,RKPT,2017/05/02,2017122,-691198.910,-5591769.546,2979082.911
363,RKPT,2017/05/03,2017123,-691198.911,-5591769.538,2979082.908
366,RKPT,2017/05/04,2017124,-691198.911,-5591769.541,2979082.907
369,RKPT,2017/05/05,2017125,-691198.911,-5591769.538,2979082.906
372,RKPT,2017/05/06,2017126,-691198.910,-5591769.542,2979082.910
375,RKPT,2017/05/07,2017127,-691198.912,-5591769.545,2979082.911
390,RKPT,2017/05/08,2017128,-691198.910,-5591769.537,2979082.907
378,RKPT,2017/05/09,2017129,-691198.911,-5591769.539,2979082.907
382,RKPT,2017/05/10,2017130,-691198.912,-5591769.543,2979082.910
385,RKPT,2017/05/11,2017131,-691198.912,-5591769.546,2979082.910
388,RKPT,2017/05/12,2017132,-691198.913,-5591769.545,2979082.909
393,RKPT,2017/05/13,2017133,-691198.911,-5591769.542,2979082.908
397,RKPT,2017/05/14,2017134,-691198.911,-5591769.539,2979082.909
400,RKPT,2017/05/15,2017135,-691198.911,-5591769.547,2979082.911
403,RKPT,2017/05/16,2017136,-691198.913,-5591769.542,2979082.909
405,RKPT,2017/05/17,2017137,-691198.911,-5591769.541,2979082.908
408,RKPT,2017/05/18,2017138,-691198.912,-5591769.538,2979082.908
410,RKPT,2017/05/19,2017139,-691198.910,-5591769.545,2979082.909
414,RKPT,2017/05/20,2017140,-691198.912,-5591769.547,2979082.911
417,RKPT,2017/05/21,2017141,-691198.909,-5591769.544,2979082.910
469,RKPT,2017/06/15,2017166,-691198.915,-5591769.545,2979082.910
473,RKPT,2017/06/16,2017167,-691198.911,-5591769.538,2979082.907
475,RKPT,2017/06/17,2017168,-691198.912,-5591769.543,2979082.909
479,RKPT,2017/06/18,2017169,-691198.912,-5591769.548,2979082.912
482,RKPT,2017/06/19,2017170,-691198.911,-5591769.541,2979082.908
92,RKPT,2017/06/20,2017171,-691198.911,-5591769.539,2979082.909
96,RKPT,2017/06/21,2017172,-691198.912,-5591769.550,2979082.912
99,RKPT,2017/06/22,2017173,-691198.914,-5591769.547,2979082.910
109,RKPT,2017/06/23,2017174,-691198.912,-5591769.542,2979082.907
114,RKPT,2017/06/24,2017175,-691198.915,-5591769.546,2979082.912
118,RKPT,2017/06/25,2017176,-691198.913,-5591769.527,2979082.902
121,RKPT,2017/06/26,2017177,-691198.912,-5591769.536,2979082.901
516,RKPT,2017/07/18,2017199,-691198.911,-5591769.529,2979082.901
519,RKPT,2017/07/19,2017200,-691198.912,-5591769.539,2979082.906
522,RKPT,2017/07/20,2017201,-691198.914,-5591769.542,2979082.907
525,RKPT,2017/07/21,2017202,-691198.915,-5591769.526,2979082.900
527,RKPT,2017/07/22,2017203,-691198.912,-5591769.536,2979082.906
531,RKPT,2017/07/23,2017204,-691198.914,-5591769.544,2979082.909
535,RKPT,2017/07/24,2017205,-691198.913,-5591769.540,2979082.907
537,RKPT,2017/07/25,2017206,-691198.912,-5591769.542,2979082.910
539,RKPT,2017/07/26,2017207,-691198.913,-5591769.544,2979082.912
543,RKPT,2017/07/27,2017208,-691198.913,-5591769.539,2979082.906
546,RKPT,2017/07/28,2017209,-691198.912,-5591769.537,2979082.905
